Gene	rph1d_RNA_Rep1	rph1d_RNA_Rep2	rph1d_RNA_Rep3
YPL060W	5.49098	6.03637	6.0107
YPL059W	86.1469	89.5734	89.2043
YPL058C	18.9021	19.2359	17.6601
YPL057C	26.4239	27.2056	25.1124
YPL056C	39.921	25.1469	28.9211
YPL055C	18.5666	15.5484	17.5787
YPL054W	1.40447	0.608231	0.969031
YPL053C	27.3856	30.5062	27.8876
YPL052W	8.58825	10.7831	8.92662
YPL051W	17.5966	21.4001	18.6758
YPL050C	72.0484	71.3792	66.8125
YPL049C	37.1816	37.8334	36.1105
YPL048W	210.637	207.931	192.78
YPL047W	57.7131	83.3122	68.4403
YPL046C	48.0943	40.9618	57.2871
YPL045W	9.7046	10.8747	11.1765
YPL044C	42.7815	46.0154	47.4837
YPL043W	45.9769	45.7865	46.0304
YPL042C	13.9513	14.2342	12.9178
YPL041C	8.61222	11.4312	9.26685
YPL040C	8.32774	9.01618	8.33301
YPL039W	10.635	10.9191	9.8249
YPL038W-A	18.5491	36.1485	26.3962
YPL038W	26.1957	26.3856	29.785
YPL037C	984.626	953.73	966.417
YPL036W	4.70339	4.35376	3.94586
YPL035C	16.9458	13.2096	13.665
YPL034W	11.2858	11.6716	12.3581
YPL033C	0.0702557	0.121702	0.133303
YPL032C	46.0071	48.6329	44.1764
YPL031C	30.9711	32.6354	29.1046
YPL030W	23.6666	23.7193	21.6776
YPL029W	8.96484	8.94796	8.61291
YPL028W	215.022	219.309	195.624
YPL027W	0.428861	0.297161	0.27124
YPL026C	13.6147	13.9546	14.0005
YPL025C	0.81442	0.352699	0.600941
YPL024W	19.2567	17.5166	15.2379
YPL023C	22.6612	23.1025	20.9142
YPL022W	12.1406	12.6446	11.1616
YPL021W	0.266302	0	0
YPL020C	8.87098	9.48077	9.92515
YPL019C	21.5562	24.5724	21.56
YPL018W	4.9201	4.89436	4.74471
YPL017C	3.95622	3.92028	3.41398
YPL016W	10.8374	12.2174	11.1463
YPL015C	34.0117	35.139	30.4179
YPL014W	5.84485	6.35841	4.25855
YPL013C	60.5837	72.9663	70.5124
YPL012W	64.6097	68.6301	64.7055
YPL011C	20.2748	19.7503	17.9459
YPL010W	115.767	119.169	118.587
YPL009C	18.0464	19.0506	17.9161
YPL008W	6.04821	6.28006	5.65279
YPL007C	9.11796	8.25635	8.99969
YPL006W	16.0754	16.6281	14.6615
YPL005W	4.10888	5.61558	3.69559
YPL004C	107.745	108.797	101.363
YPL003W	8.90361	10.1655	8.30721
YPL002C	13.4253	14.435	12.1217
YPL001W	14.6512	13.5193	16.1101
YPR001W	2.31861	1.97826	1.86041
YPR002W	1.99727	2.12053	1.73181
